Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Up,PS2,2009,Action,THQ,0.19,0.05,0,0.24,0.48,,,tbd,,Asobo Studio,E
Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,0.47,,,tbd,,Incinerator Games,E
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46,72,8,4.6,32,High Impact Games,E10+
SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45,,,,,,
SingStar Motown,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.38,0.44,,,,,,
Ghostbusters: The Video Game,PS2,2009,Action,Atari,0.15,0.04,0,0.24,0.43,64,9,8.7,6,War Drum Studios,E10+
Bakugan: Battle Brawlers,PS2,2009,Action,Activision,0.21,0.16,0,0.05,0.43,,,5.7,7,Now Production,E
Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.2,0.41,,,4.4,7,BudCat,E10+
Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision,0.23,0.02,0,0.16,0.41,,,4.6,15,n-Space,T
NBA 2K10,PS2,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.05,0.4,,,8.6,11,Visual Concepts,E
NHL 2K10,PS2,2009,Sports,Take-Two Interactive,0.17,0.14,0,0.05,0.36,,,8.5,4,Take-Two Interactive,E10+
Guitar Hero: Metallica,PS2,2009,Misc,Activision,0.17,0.13,0,0.04,0.35,,,7.6,9,Neversoft Entertainment,T
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34,72,10,8.3,6,Virtuos,T
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0,0.22,0.34,,,,,,
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,79,7,7.5,12,SCEA San Diego Studios,E
Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33,,,,,,
Rock Band Country Track Pack,PS2,2009,Misc,MTV Games,0.16,0.12,0,0.04,0.32,,,tbd,,Harmonix Music Systems,E10+
DJ Hero,PS2,2009,Misc,Activision,0.1,0.02,0,0.2,0.32,87,4,6.4,5,FreeStyleGames,T
SD Gundam G Generation Wars,PS2,2009,Strategy,Namco Bandai Games,0,0,0.31,0,0.31,,,,,,
Ben 10 Alien Force: Vilgax Attacks,PS2,2009,Action,D3Publisher,0.11,0.03,0,0.15,0.29,,,7,4,Papaya Studios,E10+
Marvel Super Hero Squad,PS2,2009,Fighting,THQ,0.14,0.11,0,0.04,0.29,,,tbd,,THQ,E10+
Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0,0.16,0.28,55,4,7.5,13,LucasArts,T
Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0,0.17,0.27,,,tbd,,EA Bright Light,E
G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0,0.14,0.27,,,tbd,,Eurocom Entertainment Software,E10+
Tiger Woods PGA Tour 10,PS2,2009,Sports,Electronic Arts,0.12,0.01,0,0.13,0.26,,,tbd,,EA Tiburon,E
Tomb Raider: Underworld (Others sales),PS2,2009,Adventure,Eidos Interactive,0,0.21,0,0.04,0.26,,,,,,
Star Wars The Clone Wars: Republic Heroes,PS2,2009,Action,LucasArts,0.17,0.01,0,0.08,0.25,,,8.3,9,"LucasArts, Krome Studios",T
Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,0.11,0.01,0,0.1,0.22,69,6,8.3,6,Beenox,T
Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009,Fighting,Ubisoft,0.11,0.08,0,0.03,0.21,,,8.4,12,Game Arts,E10+
Rock Band Track Pack: Classic Rock,PS2,2009,Misc,MTV Games,0.1,0.08,0,0.03,0.2,,,tbd,,Harmonix Music Systems,T
The BIGS 2,PS2,2009,Sports,Take-Two Interactive,0.1,0.08,0,0.03,0.2,,,tbd,,Blue Castle Games,E10+
Monsters vs. Aliens,PS2,2009,Action,Activision,0.11,0,0,0.08,0.19,64,4,tbd,,Beenox,E10+
X-Men Origins: Wolverine,PS2,2009,Action,Activision,0.13,0,0,0.05,0.18,,,6.8,16,Amaze Entertainment,T
Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0,0.05,0.18,,,5.8,30,Crystal Dynamics,T
Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision,0.08,0.07,0,0.02,0.17,,,tbd,,Activision,E10+
Backyard Baseball '10,PS2,2009,Sports,Atari,0.08,0.07,0,0.02,0.17,,,tbd,,Farsight Studios,E
Major League Baseball 2K9,PS2,2009,Sports,Spike,0.08,0.06,0,0.02,0.17,,,5.4,5,2K Sports,E
Jikkyou Powerful Pro Yakyuu 2009,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15,,,,,,
The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,Action,D3Publisher,0.05,0.02,0,0.08,0.15,,,tbd,,High Voltage Software,E10+
Jurassic: The Hunted,PS2,2009,Shooter,Activision,0.07,0.06,0,0.02,0.14,,,tbd,,Activision,T
G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0,0,0.03,0.14,50,4,2.3,6,Double Helix Games,T
Cabela's Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,0.07,0.05,0,0.02,0.14,,,6.6,5,Sand Grain Studios,T
Pro Yaky? Spirits 6,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,
Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13,,,,,,
Coraline,PS2,2009,Action,D3Publisher,0.06,0.04,0,0.01,0.11,39,5,2,6,Papaya Studios,E10+
Astro Boy: The Video Game,PS2,2009,Action,D3Publisher,0.05,0.04,0,0.01,0.11,56,4,5,4,High Voltage Software,E10+
Rock Band: Metal Track Pack,PS2,2009,Misc,MTV Games,0.05,0.04,0,0.01,0.11,,,tbd,,Harmonix Music Systems,T
Kamen Rider: Climax Heroes,PS2,2009,Fighting,Namco Bandai Games,0,0,0.11,0,0.11,,,,,,
Guitar Hero: Van Halen,PS2,2009,Misc,Activision,0.05,0.04,0,0.01,0.1,,,tbd,,Neversoft Entertainment,T
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,Take-Two Interactive,0.05,0.04,0,0.01,0.09,,,tbd,,Take-Two Interactive,E
Pimp My Ride: Street Racing,PS2,2009,Racing,Activision,0.04,0.03,0,0.01,0.08,,,,,,
J-League Winning Eleven 2009: Club Championship,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.08,0,0.08,,,,,,
Jikkyou Powerful Major League 2009,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.08,0,0.08,,,,,,
Super Robot Taisen Z Special Disc,PS2,2009,Misc,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
"Ni Hao, Kai-lan: Super Game Day",PS2,2009,Misc,Take-Two Interactive,0.04,0.03,0,0.01,0.08,,,tbd,,Take-Two Interactive,E
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009,Strategy,Namco Bandai Games,0,0,0.07,0,0.07,,,,,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,Misc,D3Publisher,0,0,0.06,0,0.06,,,,,,
Backyard NFL Football '10,PS2,2009,Sports,Atari,0.03,0.02,0,0.01,0.06,,,,,,
Melty Blood: Actress Again,PS2,2009,Fighting,Ecole,0,0,0.06,0,0.06,,,,,,
Little Busters! Converted Edition,PS2,2009,Adventure,Prototype,0,0,0.05,0,0.05,,,,,,
Short Track Racing: Trading Paint,PS2,2009,Racing,THQ,0.02,0.02,0,0.01,0.05,,,tbd,,THQ,E
The King of Fighters 2002: Unlimited Match,PS2,2009,Fighting,SNK Playmore,0,0,0.04,0,0.04,,,,,,
BeatMania IIDX 16: Empress + Premium Best,PS2,2009,Simulation,Konami Digital Entertainment,0,0,0.04,0,0.04,,,,,,
Sacred Blaze,PS2,2009,Strategy,Flight-Plan,0,0,0.04,0,0.04,,,,,,
Music Maker: Rockstar,PS2,2009,Misc,Magix,0.02,0.01,0,0,0.04,,,,,,
Hakuouki: Zuisouroku,PS2,2009,Adventure,Idea Factory,0,0,0.04,0,0.04,,,,,,
Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009,Adventure,Tecmo Koei,0,0,0.03,0,0.03,,,,,,
Winning Post World,PS2,2009,Sports,Tecmo Koei,0,0,0.03,0,0.03,,,,,,
Suggoi! Arcana Heart 2,PS2,2009,Fighting,AQ Interactive,0,0,0.03,0,0.03,,,,,,
D.C.I.F.: Da Capo Innocent Finale,PS2,2009,Adventure,Sweets,0,0,0.03,0,0.03,,,,,,
Vitamin Z,PS2,2009,Adventure,D3Publisher,0,0,0.03,0,0.03,,,,,,
Evangelion: Jo,PS2,2009,Action,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,
Galaxy Angel II: Eigou Kaiki no Koku,PS2,2009,Strategy,Broccoli,0,0,0.02,0,0.02,,,,,,
Triggerheart Excelica Enhanced,PS2,2009,Shooter,Alchemist,0,0,0.02,0,0.02,,,,,,
Tsuyo Kiss 2 Gakki: Swift Love,PS2,2009,Adventure,Revolution (Japan),0,0,0.02,0,0.02,,,,,,
Sengoku Hime: Senran ni Mau Otometachi,PS2,2009,Adventure,Yeti,0,0,0.02,0,0.02,,,,,,
Memories Off 6: Next Relation,PS2,2009,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
S.Y.K: Shinsetsu Saiyuuki,PS2,2009,Adventure,Idea Factory,0,0,0.01,0,0.01,,,,,,
Hiiro no Kakera: Shin Tamayori Hime Denshou,PS2,2009,Adventure,Idea Factory,0,0,0.01,0,0.01,,,,,,
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,PS2,2009,Misc,Tecmo Koei,0,0,0.01,0,0.01,,,,,,
Sekirei: Mirai Kara no Okurimono,PS2,2009,Adventure,Alchemist,0,0,0.01,0,0.01,,,,,,
Wand of Fortune,PS2,2009,Adventure,Idea Factory,0,0,0.01,0,0.01,,,,,,
Lucian Bee's: Resurrection Supernova,PS2,2009,Adventure,5pb,0,0,0.01,0,0.01,,,,,,
Sweet Honey Coming,PS2,2009,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01,,,,,,
PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5,,,,,,
FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82,8,6.9,20,EA Canada,E
Guitar Hero: World Tour,PS2,2008,Misc,Activision,1,0.03,0,0.77,1.8,,,8,13,BudCat,T
Dance Dance Revolution X,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,Konami,E10+
Call of Duty: World at War Final Fronts,PS2,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72,,,,,,
Madden NFL 09,PS2,2008,Sports,Electronic Arts,1.22,0,0,0.27,1.49,67,4,7,24,EA Tiburon,E
Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4,,,6.5,38,Exient Entertainment,T
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37,77,12,8.4,16,Traveller's Tales,E10+
SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36,64,11,tbd,,SCEE London Studio,T
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27,77,8,8.9,17,Traveller's Tales,E10+
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25,68,7,7.4,33,Krome Studios,T
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24,78,9,6.9,34,Yuke's,T
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87,68,20,7.2,105,Jupiter Corporation,E10+
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90,47,8.9,634,Atlus Co.,M
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0,0,0.18,0.79,71,11,6.3,15,BudCat,T
Sonic Unleashed,PS2,2008,Platform,Sega,0.37,0.04,0,0.36,0.76,66,5,6.7,49,Sonic Team,E10+
Wall-E,PS2,2008,Platform,THQ,0.21,0,0,0.54,0.75,67,8,8.4,9,Asobo Studio,E
Kung Fu Panda,PS2,2008,Action,Activision,0.24,0,0,0.41,0.65,73,6,8.6,5,Xpec,E10+
SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0,0.04,0,0.57,0.61,,,,,,
Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0,0.08,0.59,,,8,4,Harmonix Music Systems,T
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0,0.07,0.58,,,tbd,,Incinerator Games,E
Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.07,0.57,,,tbd,,EA Bright Light,E
Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0,0.33,0.57,,,5.3,6,Monkey Bar Games,E10+
Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54,47,8,5.6,15,Artificial Mind and Movement,T
SingStar Summer Party,PS2,2008,Misc,Sony Computer Entertainment,0,0.06,0,0.48,0.54,,,,,,
NASCAR 09,PS2,2008,Racing,Electronic Arts,0.26,0.2,0,0.07,0.53,,,7.9,8,EA Tiburon,E
Disney Sing It,PS2,2008,Misc,Disney Interactive Studios,0.25,0.19,0,0.06,0.5,,,tbd,,Zoe Mode,E
Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games,0.25,0.19,0,0.06,0.5,73,7,6.5,36,Radical Entertainment,E10+
Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai Games,0,0,0.5,0,0.5,,,,,,
NCAA Football 09,PS2,2008,Sports,Electronic Arts,0.4,0.02,0,0.07,0.48,,,tbd,,EA Tiburon,E
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45,,,,,,
007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,,,,,,
Monopoly,PS2,2008,Misc,Electronic Arts,0.21,0.16,0,0.05,0.43,,,7.2,6,Electronic Arts,E
MLB 08: The Show,PS2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0,0.06,0.42,84,12,7.3,7,SCEA San Diego Studios,E
Cabela's Legendary Adventures,PS2,2008,Sports,Activision,0.21,0.16,0,0.05,0.42,,,tbd,,Sand Grain Studios,T
NBA 2K9,PS2,2008,Sports,Take-Two Interactive,0.34,0.01,0,0.06,0.41,,,8,4,Visual Concepts,E
Warriors Orochi 2 (JP sales),PS2,2008,Action,Tecmo Koei,0,0,0.4,0,0.4,,,,,,
The Chronicles of Narnia: Prince Caspian,PS2,2008,Action,Disney Interactive Studios,0.2,0.15,0,0.05,0.4,67,6,7,8,Traveller's Tales,T
The Legend of Spyro: Dawn of the Dragon,PS2,2008,Platform,Vivendi Games,0.12,0.01,0,0.27,0.4,,,7.1,25,Etranges Libellules,E10+
NBA Live 09,PS2,2008,Sports,Electronic Arts,0.32,0.01,0.01,0.05,0.39,,,7.4,14,EA Canada,E
